-138751295341.94,51101238610.44,147862295892.45,3.96	-159149567673.74,172465831393.93,234676474937.60,1.16
-139660343488.11,48657941484.24,147893903906.48,3.97	-160523625605.24,170937425240.65,234494003602.13,1.17
-140526859587.86,46198636321.07,147926036462.66,3.99	-161855828503.63,169428797684.99,234314802574.61,1.18
-141342610852.39,43748625222.58,147958358504.81,4.01	-163200472953.67,167878525733.61,234131573639.25,1.19
-142123638420.14,41259636066.15,147991507074.19,4.03	-164503697935.95,166348770152.63,233951661601.06,1.20
-142861308301.05,38756833854.08,148025151848.87,4.04	-165818620754.84,164777246236.05,233767739147.59,1.20
-143548711397.03,36265934213.12,148058942749.50,4.06	-167092572646.33,163226965424.29,233587178747.45,1.21
-144199358319.95,33737862200.45,148093545726.15,4.08	-168377479567.98,161634805815.40,233402626541.88,1.22
-144800142817.95,31223416444.42,148128265684.03,4.10	-169647119490.44,160032459040.87,233217780407.22,1.23
-145362867885.95,28673060088.48,148163786853.82,4.12	-170901422646.59,158420083074.26,233032656475.19,1.24
-145876192917.69,26138041545.07,148199395666.69,4.13	-172140321033.66,156797836104.58,232847270829.30,1.25
-146350196853.87,23568420735.92,148235793839.25,4.15	-173363748407.02,155165876514.77,232661639503.23,1.26
-146775320926.13,21015835284.41,148272250153.80,4.17	-174571640273.65,153524362860.47,232475778479.28,1.27
-147156318912.18,18455639061.25,148309112359.77,4.18	-175763933885.48,151873453848.97,232289703686.83,1.27
-147496187966.26,15862884152.10,148346744346.48,4.20	-176940568232.30,150213308318.47,232103431000.81,1.28
-147788063506.85,13289676381.74,148384390059.86,4.22	-178124541623.28,148510609256.39,231913245396.22,1.29
-148035411542.09,10711138662.55,148422409230.83,4.24	-179269365227.34,146832290875.55,231726621156.86,1.30
-148238124209.28,8128034477.30,148460790828.93,4.25	-180420773729.94,145111386541.03,231536109704.66,1.31
-148396106484.05,5541129828.31,148499523700.92,4.27	-181533558869.07,143415544520.48,231349197979.54,1.32
-148509276248.06,2951193030.58,148538596573.51,4.29	-182652177383.05,141677097317.35,231158425775.57,1.33
-148577564353.84,358994502.75,148577998056.15,4.31	-183754157572.18,139930043589.65,230967546473.66,1.34
-148600914686.45,-2234693443.80,148617716643.87,4.32	-184818328044.91,138209053698.83,230780321746.98,1.34
-148579284222.10,-4829096817.91,148657740720.18,4.34	-185887206289.62,136445454205.65,230589278665.65,1.35
-148512643083.50,-7423440163.46,148698058559.98,4.36	-186939296742.84,134673751572.30,230398177139.63,1.36
-148402314184.60,-9991018404.79,148738250978.39,4.38	-187994683387.11,132859141563.14,230203285117.12,1.37
-148246065190.27,-12582930547.92,148779118109.94,4.39	-189012728918.24,131071588331.56,230012114813.28,1.38
